pubchem_cid,SMILES
4302962.0,CC1=C(N(N=C1C(=O)NN2CCOCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I
4780.0,C1=CC=C(C=C1)N=C(N)N=C(N)N
5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
4993.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
2708.0,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
2895.0,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
451668.0,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O
3162.0,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
83933.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
5756.0,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
5870.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
57363.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C
3559.0,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
3830.0,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
149096.0,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
28864.0,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
4184.0,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
5360515.0,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O
156391.0,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
4908.0,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
1978.0,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
2160.0,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
9330.0,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O
448537.0,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
12560.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
33478.0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C
5755.0,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
5865.0,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
5833.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
444795.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
3158.0,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
24066.0,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N
4913.0,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
1989.0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
135398513.0,C1=NC2=C(N1COCCO)N=C(NC2=O)N
5280965.0,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
2337.0,CCOC(=O)C1=CC=C(C=C1)N
3025.0,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
3478.0,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
6032.0,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N
896.0,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
15387.0,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F
441130.0,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O
126941.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
4543.0,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
4829.0,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
43672.0,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
5770.0,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
5320.0,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
5323.0,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
5325.0,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N
5533.0,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
135398737.0,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
3446.0,C1CCC(CC1)(CC(=O)O)CN
3658.0,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
4421.0,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
8955.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
3290.0,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
5253.0,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
6769.0,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCC5=C([C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC
5403.0,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
5273569.0,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O
2122.0,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
2446.0,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2448.0,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
197583.0,C[C@@H](C1=CC(=C(C=C1)Cl)Cl)NC[C@@H](CP(=O)(CC2CCCCC2)O)O.Cl
88505.0,COC1=C(C=C(C(=C1)C=O)[N+](=O)[O-])OC
54677407.0,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C
24965990.0,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl
3080836.0,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O.C(CCN)C[C@@H](C(=O)O)N
9935681.0,CCOCC1=CC(=C(C(=C1)OC)C2=CC=C(C=C2)C[C@@H](C(=O)O)NC(=O)C3=C(C=CC=C3F)F)OC
853433.0,C/C=C/C1=CC(=C(C=C1)O)OC
11705608.0,CC(C)OC(=O)N1CCC(CC1)OC2=NC=NC3=C2C=NN3C4=C(C=C(C=C4)S(=O)(=O)C)F
97807.0,C1OC2=C(O1)C=C(C=C2)CC(CO)O
