gene,relationship,source,count
NR1H3 gene,negatively_correlated_with_chemical_or_drug,CMAP,111
NR1H3 gene,inverse_negatively_correlated_with_chemical_or_drug,CMAP,111
NR1H3 gene,positively_correlated_with_chemical_or_drug,CMAP,15
NR1H3 gene,inverse_positively_correlated_with_chemical_or_drug,CMAP,15
NR1H3 gene,gene_plays_role_in_process,NCI,5
NR1H3 gene,process_involves_gene,NCI,5
NR1H3 gene,negatively_regulates,LINCS,2
NR1H3 gene,negatively_regulated_by,LINCS,2
NR1H3 gene,located_in,GENCODE,1
NR1H3 gene,has_gene_product,UNIPROTKB,1
NR1H3 gene,organism_has_gene,NCI,1
NR1H3 gene,gene_found_in_organism,NCI,1
NR1H3 gene,location_of,GENCODE,1
NR1H3 gene,gene_product_of,UNIPROTKB,1
TYROBP gene,associated_with,HGNCHPO,49
TYROBP gene,inverse_associated_with,HGNCHPO,49
TYROBP gene,positively_regulates,LINCS,12
TYROBP gene,positively_regulated_by,LINCS,12
TYROBP gene,negatively_regulates,LINCS,10
TYROBP gene,negatively_regulated_by,LINCS,10
TYROBP gene,gene_plays_role_in_process,NCI,1
TYROBP gene,located_in,GENCODE,1
TYROBP gene,positively_correlated_with_chemical_or_drug,CMAP,1
TYROBP gene,inverse_positively_correlated_with_chemical_or_drug,CMAP,1
TYROBP gene,has_gene_product,UNIPROTKB,1
TYROBP gene,process_involves_gene,NCI,1
TYROBP gene,location_of,GENCODE,1
TYROBP gene,Orphanet_410295,ORDO,1
TYROBP gene,inverse_Orphanet_410295,ORDO,1
TYROBP gene,gene_product_of,UNIPROTKB,1